(
    (0.00000000    462.264)  
    (0.00020644    463.747)
    (0.00039412    468.194)
    (0.00054427    472.642)
    (0.00067564    483.019)
    (0.00082579    490.431)
    (0.00093839    500.809)
    (0.00103224    514.151)
    (0.00112608    526.011)
    (0.00120115    540.836)
    (0.00125745    554.178)
    (0.00131376    567.520)
    (0.00137006    582.345)
    (0.00142637    597.170)
    (0.00146390    611.995)
    (0.00150144    625.337)
    (0.00153897    640.162)
    (0.00159528    654.987)
    (0.00163281    668.329)
    (0.00167035    683.154)
    (0.00170789    697.978)
    (0.00174542    712.803)
    (0.00178296    727.628)
    (0.00182049    742.453)
    (0.00183926    755.795)
    (0.00187680    770.620)
    (0.00191433    785.445)
    (0.00195187    800.270)
    (0.00197064    815.094)
    (0.00200817    829.919)
    (0.00204571    843.261)
    (0.00206448    858.086)
    (0.00210201    872.911)
    (0.00213955    887.736)
    (0.00215832    902.561)
    (0.00219585    917.385)
    (0.00221462    932.210)
    (0.00223339    947.035)
    (0.00227092    961.860)
    (0.00228969    975.202)
    (0.00232723    990.027)
    (0.00234600    1004.85)
    (0.00238353    1019.68)
    (0.00242107    1034.50)
    (0.00245860    1049.33)
    (0.00247737    1064.15)
    (0.00251491    1077.49)
    (0.00253368    1092.32)
    (0.00255244    1107.14)
    (0.00258998    1121.97)
    (0.00260875    1136.79)
    (0.00262752    1151.62)
    (0.00266505    1166.44)
    (0.00268382    1181.27)
    (0.00272136    1196.09)
    (0.00275889    1210.92)
    (0.00277766    1224.26)
    (0.00279643    1239.08)
    (0.00283396    1253.91)
    (0.00285273    1268.73)
    (0.00289027    1283.56)
    (0.00290903    1298.38)
    (0.00294657    1313.21)
    (0.00298411    1326.55)
    (0.00307795    1339.89)
    (0.00315302    1351.75)
    (0.00317179    1366.58)
    (0.00330316    1388.81)
    (0.00345331    1409.57)
    (0.00358468    1421.43)
    (0.00396004    1440.70)
    (0.00426033    1445.15)
    (0.00457938    1445.15)
    (0.00491721    1447.65)
    (0.00510489    1447.65)
    (0.00529257    1447.65)
    (0.00548025    1447.65)
    (0.00566793    1447.65)
    (0.00585561    1447.65)
    (0.00604329    1447.65)
    (0.00623097    1447.65)
    (0.00641864    1447.65)
    (0.00660632    1447.65)
    (0.00679400    1447.65)
    (0.00698168    1447.65)
    (0.00716936    1447.65)
    (0.00735704    1447.65)
    (0.00754472    1447.65)
    (0.00773240    1447.65)
    (0.00792008    1447.65)
    (0.00810776    1447.65)
    (0.00829544    1447.65)
    (0.00848312    1447.65)
    (0.00867080    1447.65)
    (0.00885848    1447.65)
    (0.00904616    1447.65)
    (0.00923384    1447.65)
    (0.00942152    1447.65)
    (0.00960920    1447.65)
    (0.00979688    1447.65)
    (0.00998456    1447.65)
    (0.01017220    1447.65)
    (0.01035990    1447.65)
    (0.01054760    1447.65)
    (0.01073530    1447.65)
    (0.01092300    1447.65)
    (0.01111060    1447.65)
    (0.01129830    1447.65)
    (0.01148600    1447.65)
    (0.01167370    1447.65)
    (0.01186140    1447.65)
    (0.01204900    1447.65)
    (0.01223670    1447.65)
    (0.01242440    1447.65)
    (0.01261210    1447.65)
    (0.01279980    1447.65)
    (0.01298740    1447.65)
    (0.01317510    1447.65)
    (0.01336280    1447.65)
    (0.01355050    1447.65)
    (0.01373820    1447.65)
    (0.01392580    1447.65)
    (0.01411350    1447.65)
    (0.01430120    1447.65)
    (0.01448890    1447.65)
    (0.01467660    1447.65)
    (0.01486420    1447.65)
    (0.01505190    1447.65)
    (0.01523960    1447.65)
    (0.01542730    1447.65)
    (0.01561490    1447.65)
    (0.01580260    1447.65)
    (0.01599030    1447.65)
    (0.01617800    1447.65)
    (0.01636570    1447.65)
    (0.01655330    1447.65)
    (0.01674100    1447.65)
    (0.01692870    1447.65)
    (0.01711640    1447.65)
    (0.01730410    1447.65)
    (0.01749170    1447.65)
    (0.01767940    1447.65)
    (0.01786710    1447.65)
    (0.01805480    1447.65)
    (0.01824250    1447.65)
)
